Subject ID,Song ID,Playing Time,Fixation Count,Fixation Duration,Saccade Length,Saccade Duration,Path Velocity,
042,0,27745,11,354.636363636,413.9751775,2322.9375,0.420146660625,
042,1,35240,30,274.4,213.1509275,916.522727273,0.821659992045,
042,2,134397,125,453.712,130.845317742,630.233870968,0.671764966048,
042,3,86666,63,318.650793651,169.990611774,1076.72580645,1.18931931452,
042,4,27745,44,435.954545455,128.825350141,346.309859155,1.15461403507,
042,5,162373,172,340.075581395,145.012408895,591.569060773,0.719820020276,
043,0,31343,15,297.8,371.2139,2044.08333333,1.30320195875,
043,1,35472,20,541.2,518.280226296,2473.44444444,1.71205323704,
043,2,91363,32,390.65625,338.098866875,2069.6875,0.496540012167,
043,3,100521,72,366.472222222,372.541488095,1330.37142857,1.46193987838,
043,4,137157,55,397.272727273,424.307505926,2142.12962963,0.737306387963,
043,5,203840,73,567.931506849,413.114203977,2217.29545455,0.782283462614,
044,0,82270,58,477.396551724,222.331553516,824.857142857,1.09612748703,
