7.8438,1.5729,0,55,64,3.9219,0.78646
9.3333,2.3958,0,60,60,4.6667,1.1979
11.802,0.88542,0,64,73,5.901,0.44271
12.708,0.91667,0,60,48,6.3542,0.45833
13.583,2.2396,0,64,73,6.7917,1.1198
15.823,1.1979,0,62,78,7.9115,0.59896
17.052,3.3854,0,60,46,8.526,1.6927
19.375,1.3021,0,57,52,9.6875,0.65104
20.688,1.8854,0,55,80,10.344,0.94271
23.146,1.2188,0,55,69,11.573,0.60938
24.51,2.2083,0,60,64,12.255,1.1042
26.792,0.5,0,64,62,13.396,0.25
27.302,0.83333,0,60,42,13.651,0.41667
28.104,2.25,0,64,73,14.052,1.125
30.417,1.2396,0,62,69,15.208,0.61979
31.677,5.4583,0,67,67,15.839,2.7292
37.198,1.3333,0,64,57,18.599,0.66667
38.521,2.2188,0,67,73,19.26,1.1094
40.75,1.1458,0,64,60,20.375,0.57292
41.885,0.79167,0,67,34,20.943,0.39583
42.448,0.8125,0,64,42,21.224,0.40625
43.198,3.6563,0,60,53,21.599,1.8281
45.99,1.6563,0,55,50,22.995,0.82813
47.354,1.6146,0,57,55,23.677,0.80729
49.604,0.70833,0,60,42,24.802,0.35417
51.719,1.3854,0,60,51,25.859,0.69271
53.344,1.0938,0,57,78,26.672,0.54688
54.552,1.8229,0,55,66,27.276,0.91146
56.771,1.2917,0,55,71,28.385,0.64583
58.094,2.0833,0,60,46,29.047,1.0417
60.177,0.57292,0,64,64,30.089,0.28646
60.719,0.83333,0,60,50,30.359,0.41667
61.479,1.6563,0,64,48,30.74,0.82813
63.635,1.1146,0,62,62,31.818,0.55729
64.802,9.7188,0,60,60,32.401,4.8594
